Name
L. Messi
Neymar
L. Suárez
G. Higuaín
A. Sánchez
S. Agüero
P. Dybala
D. Godín
Thiago Silva
A. Vidal
E. Cavani
Marcelo
J. Rodríguez
Alex Sandro
Coutinho
David Luiz
Miranda
Casemiro
A. Di María
Filipe Luís
M. Icardi
Willian
Falcao
Dani Alves
A. Gómez
J. Giménez
G. Rulli
Ederson
Fabinho
Marquinhos
Roberto Firmino
N. Otamendi
J. Pastore
Oscar
M. Musacchio
N. Gaitán
E. Banega
Jonas
E. Garay
A. Valencia
L. Biglia
J. Mascherano
Felipe
C. Bacca
M. Rojo
Lucas
Willian José
G. Medel
J. Cuadrado
Douglas Costa
Taison
Marlos
F. Muslera
F. Fazio
C. Bravo
Naldo
Raffael
Fernandinho
Gabriel Jesus
Malcom
D. Sánchez
Felipe Anderson
Rafinha
S. Coates
M. Lanzini
Paulinho
Giuliano
D. Perotti
Dante
G. Rodríguez
Jemerson
Alisson
Alex Telles
Fred
Leo Baptistao
Eric Botteghin
Allan
P. Hernández
L. Muriel
Neto
R. Pereyra
F. Orellana
Maicon
E. Salvio
S. Rondón
Ganso
Luiz Gustavo
Sidnei
M. Díaz
A. Fernández
I. Piatti
S. Romero
E. Lamela
Renato Augusto
Jardel
G. Cabral
F. Belluschi
Kaká
Júlio César
M. Almirón
Soares
M. Campaña
M. Acuña
E. Rigoni
I. Marcone
L. López
A. Correa
Anderson Talisca
N. Tagliafico
L. Vietto
L. Paredes
Bernard
Fernando
F. Fernández
J. Murillo
Gabriel Paulista
H. Pérez
Jonathas
G. Bou
C. Noboa
Maurício
Mariano
P. Piatti
C. Yacob
Marcelo
D. Ospina
Lucas Leiva
C. Ansaldi
D. Valeri
Danilo
N. Pareja
D. Abraham
Luisão
P. Zabaleta
W. Caballero
Vágner Love
Gomes
F. Cervi
Raúl
M. Vecino
A. Sanabria
R. Battaglia
J. Izquierdo
D. Zapata
D. Benedetto
A. Ruiz
D. Laxalt
A. Szymanowski
Bruno Peres
