Name
Cristiano Ronaldo
M. Neuer
R. Lewandowski
De Gea
E. Hazard
T. Kroos
Sergio Ramos
K. De Bruyne
T. Courtois
L. Modrić
G. Chiellini
G. Buffon
J. Oblak
A. Griezmann
Thiago
L. Bonucci
J. Boateng
M. Hummels
M. Özil
H. Lloris
Z. Ibrahimović
A. Robben
N. Kanté
M. Verratti
P. Pogba
C. Eriksen
I. Rakitić
David Silva
S. Handanovič
Piqué
Iniesta
Isco
D. Alaba
R. Lukaku
T. Müller
Sergio Busquets
M. Reus
T. Alderweireld
Diego Costa
R. Nainggolan
Javi Martínez
D. Mertens
Sokratis
K. Benzema
Cesc Fàbregas
F. Ribéry
Pepe
P. Čech
Y. Carrasco
R. Varane
L. Insigne
A. Lacazette
D. Subašić
B. Leno
M. ter Stegen
K. Glik
Jordi Alba
I. Gündoğan
Azpilicueta
C. Marchisio
J. Vertonghen
B. Matuidi
S. Ruffier
V. Kompany
A. Barzagli
Marco Asensio
Bernardo Silva
A. Laporte
Carvajal
J. Draxler
Morata
T. Horn
Koke
K. Manolas
S. Mustafi
Ander Herrera
K. Strootman
Pedro
R. Bürki
Bruno
I. Perišić
S. Khedira
R. Fährmann
Sergio Asenjo
Juan Mata
D. Payet
L. Koscielny
Aduriz
K. Mbappé
O. Dembélé
T. Lemar
João Mário
N. Süle
A. Belotti
E. Forsberg
William Carvalho
S. Umtiti
V. van Dijk
Danilo Pereira
Vitolo
A. Lopes
S. de Vrij
M. Perin
Iago Aspas
N. Matić
Parejo
G. Bonaventura
B. Dost
S. N'Zonzi
José Callejón
Adrien Silva
S. Giovinco
M. Mandžukić
B. Höwedes
Rui Patrício
Y. Sommer
M. Schneiderlin
K. Gameiro
L. Piszczek
K. Schmeichel
M. Dembélé
Borja Valero
L. Perrin
Juanfran
Diego López
Santi Cazorla
W. Sneijder
Nani
D. De Rossi
José Reina
Quaresma
Casillas
G. Donnarumma
L. Sané
T. Bakayoko
C. Tolisso
N. Fekir
J. Tah
F. Bernardeschi
T. Werner
André Gomes
A. Martial
L. Goretzka
Q. Promes
Lucas Vázquez
Saúl
F. Vázquez
M. Kovačić
Sergio Rico
Manu Trigueros
A. Rüdiger
F. Thauvin
S. Savić
Iñigo Martínez
Roque Mesa
A. Florenzi
D. Klaassen
K. Bellarabi
Suso
Deulofeu
F. Acerbi
G. Xhaka
Jonathan Viera
Pizzi
O. Baumann
Víctor Ruíz
X. Shaqiri
C. Immobile
Iborra
K. Trapp
L. Stindl
M. Balotelli
W. Szczęsny
G. Sigurðsson
M. Arnautović
M. Kruse
O. Karnezis
L. Fejsa
V. Ćorluka
G. Wijnaldum
O. Giroud
B. Ivanović
Beñat
L. Bender
A. Witsel
E. Viviano
G. Castro
S. Nasri
S. Mandanda
A. Consigli
João Moutinho
B. Costil
Raúl Albiol
M. Gómez
David Villa
S. Lichtsteiner
R. Jarstein
Nélson Semedo
Gelson Martins
J. Weigl
A. Kramarić
M. Brozović
Williams
Dani García
A. Christensen
J. Kimmich
Bruma
D. Berardi
M. Sanson
A. Rabiot
R. Guerreiro
Jorginho
Héctor Bellerín
S. Zaza
T. Meunier
Nacho Fernández
J. Cillessen
Sergi Roberto
W. Ben Yedder
