continent,Country,Name,Age,Fifa Score,Club,Value,Salary
Europe,Portugal,Cristiano Ronaldo,32,94,Real Madrid CF,9.55E7,565000.0
South America,Argentina,L. Messi,30,93,FC Barcelona,1.05E8,565000.0
South America,Brazil,Neymar,25,92,Paris Saint-Germain,1.23E8,280000.0
South America,Uruguay,L. Suarez,30,92,FC Barcelona,9.7E7,510000.0
Europe,Germany,M. Neuer,31,92,FC Bayern Munich,6.1E7,230000.0
Europe,Poland,R. Lewandowski,28,91,FC Bayern Munich,9.2E7,355000.0
Europe,Spain,De Gea,26,90,Manchester United,6.45E7,215000.0
Europe,Belgium,E. Hazard,26,90,Chelsea,9.05E7,295000.0
Europe,Germany,T. Kroos,27,90,Real Madrid CF,7.9E7,340000.0
South America,Argentina,G. Higuain,29,90,Juventus,7.7E7,275000.0
Europe,Spain,Sergio Ramos,31,90,Real Madrid CF,5.2E7,310000.0
Europe,Belgium,K. De Bruyne,26,89,Manchester City,8.3E7,285000.0
Europe,Belgium,T. Courtois,25,89,Chelsea,5.9E7,190000.0
South America,Chile,A. Sanchez,28,89,Arsenal,6.75E7,265000.0
Europe,Croatia,L. Modric,31,89,Real Madrid CF,5.7E7,340000.0
South America,Argentina,S. Aguero,29,89,Manchester City,6.65E7,325000.0
Europe,Italy,G. Chiellini,32,89,Juventus,3.8E7,225000.0
Europe,Italy,G. Buffon,39,89,Juventus,4500000.0,110000.0
South America,Argentina,P. Dybala,23,88,Juventus,7.9E7,215000.0
Europe,Slovenia,J. Oblak,24,88,Atlético Madrid,5.7E7,82000.0
Europe,France,A. Griezmann,26,88,Atlético Madrid,7.5E7,150000.0
Europe,Spain,Thiago,26,88,FC Bayern Munich,7.05E7,225000.0
Africa,Gabon,P. Aubameyang,28,88,Borussia Dortmund,6.1E7,165000.0
Europe,Italy,L. Bonucci,30,88,Milan,4.4E7,210000.0
Europe,Germany,J. Boateng,28,88,FC Bayern Munich,4.8E7,215000.0
South America,Uruguay,D. Godin,31,88,Atlético Madrid,4.0E7,125000.0
Europe,Germany,M. Hummels,28,88,FC Bayern Munich,4.8E7,215000.0
Europe,Germany,M. Ozil,28,88,Arsenal,6.0E7,265000.0
Europe,France,H. Lloris,30,88,Tottenham Hotspur,3.8E7,165000.0
South America,Brazil,Thiago Silva,32,88,Paris Saint-Germain,3.4E7,175000.0
Europe,Sweden,Z. Ibrahimovic,35,88,Manchester United,2.7E7,240000.0
Europe,Netherlands,A. Robben,33,88,FC Bayern Munich,3.6E7,225000.0
Europe,France,N. Kante,26,87,Chelsea,5.25E7,190000.0
Europe,Italy,M. Verratti,24,87,Paris Saint-Germain,6.45E7,130000.0
Europe,France,P. Pogba,24,87,Manchester United,6.65E7,195000.0
Europe,Denmark,C. Eriksen,25,87,Tottenham Hotspur,6.5E7,165000.0
South America,Chile,A. Vidal,30,87,FC Bayern Munich,3.75E7,160000.0
South America,Uruguay,E. Cavani,30,87,Paris Saint-Germain,4.85E7,160000.0
South America,Brazil,Marcelo,29,87,Real Madrid CF,3.8E7,250000.0
Europe,Croatia,I. Rakitic,29,87,FC Barcelona,4.85E7,275000.0
Europe,Spain,David Silva,31,87,Manchester City,4.4E7,220000.0
Europe,Slovenia,S. Handanovic,32,87,Inter,2.9E7,91000.0
Europe,Spain,Pique,30,87,FC Barcelona,3.75E7,240000.0
Europe,Spain,Iniesta,33,87,FC Barcelona,2.95E7,260000.0
South America,Colombia,J. Rodriguez,25,86,FC Bayern Munich,5.6E7,250000.0
Europe,Spain,Isco,25,86,Real Madrid CF,5.65E7,250000.0
Europe,Austria,D. Alaba,25,86,FC Bayern Munich,4.45E7,150000.0
Europe,Belgium,R. Lukaku,24,86,Manchester United,5.9E7,210000.0
South America,Brazil,Alex Sandro,26,86,Juventus,4.4E7,175000.0
Europe,Germany,T. Muller,27,86,FC Bayern Munich,4.75E7,190000.0
Europe,Spain,Sergio Busquets,28,86,FC Barcelona,3.6E7,250000.0
South America,Brazil,Coutinho,25,86,Liverpool,5.6E7,205000.0
Europe,Germany,M. Reus,28,86,Borussia Dortmund,4.5E7,120000.0
Europe,Belgium,T. Alderweireld,28,86,Tottenham Hotspur,4.05E7,165000.0
South America,Brazil,David Luiz,30,86,Chelsea,3.3E7,190000.0
Europe,Spain,Diego Costa,28,86,Chelsea,4.6E7,235000.0
Europe,Belgium,R. Nainggolan,29,86,Roma,4.25E7,130000.0
Europe,Spain,Javi Martinez,28,86,FC Bayern Munich,3.6E7,165000.0
Europe,Belgium,D. Mertens,30,86,Napoli,4.3E7,135000.0
Europe,Greece,Sokratis,29,86,Borussia Dortmund,3.45E7,110000.0
South America,Brazil,Miranda,32,86,Inter,2.55E7,115000.0
Europe,France,K. Benzema,29,86,Real Madrid CF,4.45E7,295000.0
Europe,Spain,Cesc Fabregas,30,86,Chelsea,4.1E7,210000.0
Europe,France,F. Ribery,34,86,FC Bayern Munich,2.25E7,175000.0
Europe,Portugal,Pepe,34,86,Beşiktaş JK,1.35E7,94000.0
Europe,Czech Republic,P. Cech,35,86,Arsenal,1.05E7,92000.0
Europe,Belgium,Y. Carrasco,23,85,Atlético Madrid,5.15E7,77000.0
Europe,France,R. Varane,24,85,Real Madrid CF,4.65E7,175000.0
South America,Brazil,Casemiro,25,85,Real Madrid CF,4.2E7,195000.0
Europe,Italy,L. Insigne,26,85,Napoli,4.5E7,115000.0
Europe,France,A. Lacazette,26,85,Arsenal,4.85E7,180000.0
North America,Costa Rica,K. Navas,30,85,Real Madrid CF,2.45E7,165000.0
Asia,Armenia,H. Mkhitaryan,28,85,Manchester United,3.9E7,195000.0
Europe,Croatia,D. Subasic,32,85,AS Monaco,2.2E7,46000.0
Europe,Germany,B. Leno,25,85,Bayer 04 Leverkusen,3.4E7,61000.0
Europe,Germany,M. ter Stegen,25,85,FC Barcelona,3.55E7,155000.0
Europe,Poland,K. Glik,29,85,AS Monaco,3.0E7,60000.0
Europe,Spain,Jordi Alba,28,85,FC Barcelona,3.05E7,215000.0
Europe,Germany,I. Gundogan,26,85,Manchester City,4.6E7,190000.0
Europe,Spain,Azpilicueta,27,85,Chelsea,3.75E7,160000.0
South America,Argentina,A. Di Maria,29,85,Paris Saint-Germain,3.75E7,145000.0
Europe,Italy,C. Marchisio,31,85,Juventus,3.3E7,160000.0
Europe,Belgium,J. Vertonghen,30,85,Tottenham Hotspur,2.85E7,130000.0
Europe,France,B. Matuidi,30,85,Juventus,2.85E7,145000.0
Europe,France,S. Ruffier,30,85,AS Saint-Étienne,2.45E7,49000.0
South America,Brazil,Filipe Luis,31,85,Atlético Madrid,2.5E7,81000.0
Europe,Belgium,V. Kompany,31,85,Manchester City,2.6E7,170000.0
Europe,Italy,A. Barzagli,36,85,Juventus,5000000.0,105000.0
Europe,Spain,Marco Asensio,21,84,Real Madrid CF,4.6E7,175000.0
Europe,Portugal,Bernardo Silva,22,84,Manchester City,4.35E7,165000.0
Europe,France,A. Laporte,23,84,Athletic Club de Bilbao,3.55E7,36000.0
Africa,Senegal,S. Mane,25,84,Liverpool,3.9E7,175000.0
Europe,Spain,Carvajal,25,84,Real Madrid CF,3.2E7,195000.0
Europe,Germany,J. Draxler,23,84,Paris Saint-Germain,3.95E7,120000.0
South America,Argentina,M. Icardi,24,84,Inter,4.2E7,105000.0
Europe,Spain,Morata,24,84,Chelsea,4.1E7,170000.0
