B. Bytyqi
A. Avdijaj
A. Ajdarević
G. Taipi
E. Kaja
V. Mustafa
A. Zeka
E. Ndoj
Q. Laçi
K. Bare
B. Kukeli
A. Vajushi
S. Binakaj
A. Sadiku
O. Roshi
F. Veseli
R. Manaj
V. Basha
B. Djimsiti
A. Ajeti
E. Lenjani
J. Gjasula
A. Abrashi
S. Çikalleshi
M. Basha
J. Hyka
E. Kaçe
B. Balaj
T. Xhaka
S. Gashi
L. Memushaj
T. Strakosha
M. Mavraj
E. Berisha
E. Hysaj
F. Prohart
A. Hofer
L. Wackerle
F. Wiedl
A. Muhamedbegovic
N. Schmid
M. Lema
F. Fischerauer
D. Mehmedovic
R. Robitsch
M. Augustin
S. Ingolitsch
S. Gessl
A. Jakupović
J. Tartarotti
V. Demaku
D. Verwüster
B. Ozegovic
A. Vucenovic
P. Gluhakovic
S. Jonovic
D. Nussbaumer
C. Haas
R. Sallinger
P. Petlach
F. Schubert
L. Grabovac
P. Schmidt
A. Borkovic
R. Renner
V. Müller
M. Raguž
R. Schmid
M. Maier
A. Sobczyk
P. Posch
S. Posch
C. Rabitsch
M. Holzmann
C. Riegler
S. Wimmer
T. Schützenauer
L. Schubert
M. Drga
D. Reiter
D. Frieser
S. Kalajdzic
E. Keles
O. Filip
M. Maranda
I. Lučić
P. Pentz
M. Entrup
M. Huber
A. Grbic
B. Gschweidl
T. Piermayr
F. Sittsam
D. Luxbacher
N. Antonitsch
O. Vojic
A. Aschauer
M. Böcskör
P. Wiesinger
E. Sakic
J. Ertlthaler
H. Wolf
T. Zündel
T. Casali
P. Erhardt
F. Flecker
C. Gebauer
A. Ildız
M. Pink
X. Schlager
A. Schlager
P. Puchegger
F. Luckeneder
T. Mahrer
D. Bachmann
D. Schütz
L. Königshofer
M. Kuttin
B. Olejnik
A. Kuen
F. Neuhold
N. Malić
B. Janeczek
L. Rath
G. Nutz
M. Kvasina
D. Stec
D. Maresic
D. Prokop
M. Leitgeb
P. Tschernegg
M. Novak
T. Vollnhofer
D. Drescher
R. Ranftl
M. Topčagić
E. Schreiner
J. Aigner
C. Dobnik
M. Friedl
M. Grgic
T. Goiginger
P. Michorl
S. Auer
M. Rasner
P. Malicsek
T. Ebner
B. Hüttenbrenner
D. Starkl
A. Kofler
M. Seidl
A. Höller
M. Thurnwald
P. Bürger
S. Zwierschitz
A. Gruber
C. Schoissengeyr
M. Potzmann
K. Dobras
F. Hart
D. Hofbauer
P. Prosenik
F. Strauss
